timestamp,category,value
2025-04-22 21:47:40,B,51
2025-04-22 21:47:44,A,96
2025-04-22 21:47:57,C,8
2025-04-22 21:48:03,C,29
2025-04-22 21:48:21,A,44
2025-04-22 21:48:31,B,94
2025-04-22 21:48:49,C,12
2025-04-22 21:49:00,B,57
2025-04-22 21:49:26,A,49
2025-04-22 21:49:35,A,60
2025-04-22 21:49:51,A,92
2025-04-22 21:50:06,A,26
2025-04-22 21:50:26,B,87
2025-04-22 21:50:32,B,55
2025-04-22 21:51:04,C,32
2025-04-22 21:51:30,A,13
2025-04-22 21:51:32,C,63
2025-04-22 21:51:32,B,22
2025-04-22 21:52:32,B,69
2025-04-22 21:52:40,C,62
2025-04-22 21:52:59,B,2
2025-04-22 21:53:06,C,16
2025-04-22 21:53:11,B,91
2025-04-22 21:53:19,B,62
2025-04-22 21:53:26,C,84
2025-04-22 21:53:41,A,94
2025-04-22 21:53:59,C,58
2025-04-22 21:54:04,C,99
2025-04-22 21:54:18,B,42
2025-04-22 21:54:21,A,32
2025-04-22 21:54:49,A,42
2025-04-22 21:55:29,A,89
2025-04-22 21:56:16,C,74
2025-04-22 21:56:39,A,93
2025-04-22 21:56:41,B,64
2025-04-22 21:57:09,C,69
2025-04-22 21:57:47,C,25
2025-04-22 21:57:52,B,14
2025-04-22 21:58:24,A,47
2025-04-22 21:58:51,C,93
2025-04-22 21:59:06,C,90
2025-04-22 21:59:08,A,9
2025-04-22 21:59:25,C,58
2025-04-22 21:59:32,A,7
2025-04-22 21:59:46,C,19
2025-04-22 21:59:54,A,47
2025-04-22 22:00:20,A,93
2025-04-22 22:00:34,C,63
2025-04-22 22:00:43,C,70
2025-04-22 22:00:48,A,96
