2025-04-22 21:18:28,C,23
2025-04-22 21:18:35,A,40
2025-04-22 21:18:45,B,2
2025-04-22 21:19:06,A,36
2025-04-22 21:19:23,C,57
2025-04-22 21:19:29,B,66
2025-04-22 21:19:42,C,27
2025-04-22 21:20:16,C,1
2025-04-22 21:20:17,B,66
2025-04-22 21:20:39,C,48
2025-04-22 21:20:49,A,23
2025-04-22 21:21:07,A,69
2025-04-22 21:21:10,B,73
2025-04-22 21:21:11,C,8
2025-04-22 21:21:42,A,45
2025-04-22 21:22:05,B,9
2025-04-22 21:22:34,C,86
2025-04-22 21:22:42,A,67
2025-04-22 21:23:01,B,23
2025-04-22 21:23:04,B,8
2025-04-22 21:24:10,B,40
2025-04-22 21:24:14,B,90
2025-04-22 21:24:37,C,16
2025-04-22 21:26:05,A,30
2025-04-22 21:26:09,A,48
2025-04-22 21:26:11,A,81
2025-04-22 21:26:12,A,65
2025-04-22 21:26:22,C,33
2025-04-22 21:26:27,B,58
2025-04-22 21:26:42,C,60
2025-04-22 21:26:49,B,10
2025-04-22 21:26:55,A,52
2025-04-22 21:27:37,C,43
2025-04-22 21:27:46,A,48
2025-04-22 21:27:52,C,90
2025-04-22 21:28:04,B,96
2025-04-22 21:28:45,C,90
2025-04-22 21:29:25,A,36
2025-04-22 21:29:32,A,50
2025-04-22 21:29:45,B,52
2025-04-22 21:30:09,A,24
2025-04-22 21:30:38,B,50
2025-04-22 21:30:44,A,7
2025-04-22 21:31:23,A,58
2025-04-22 21:31:33,A,25
2025-04-22 21:31:46,B,49
2025-04-22 21:32:30,A,2
2025-04-22 21:32:48,A,35
2025-04-22 21:33:02,C,61
2025-04-22 21:33:06,B,58
